Owner1,Owner2,SiteAddress,MailAddress,MailCity,APN,LastSeller,LastSaleDate,LastSaleValue
ROM HUNTINGTON BEACH LLC,,17196 PACIFIC COAST HWY,213 N STADIUM BLVD STE 203,COLUMBIA,178-651-08,"KM HUNTINGTON BEACH 1031 LLC,",02/26/2021,0.0
GOLDEN WESTMINSTER INVESTMENTS LLC,,14731 GOLDENWEST ST,2240 GARFIELD AVE,COMMERCE,195-353-09,"RODEFFER, PHYLLIS M; THE E O & P M RODEFFER REVOCABLE TRUST,",01/23/2002,0.0
GOLDEN WESTMINSTER INVESTMENTS LLC,,6942 SOWELL AVE,2240 GARFIELD AVE,COMMERCE,195-353-03,"SOWELL LLC,",09/11/2024,0.0
THE LE FAMILY LLC,,16752 JEFFREY CIR,2279 EAGLE GLEN PKWY # 112-461,CORONA,107-662-06,"LE, THANG BA; NGUYEN, PHUONG DUNG HUYNH",06/28/2019,0.0
S2B HOLDINGS LLC,,7402 COHO DR UNIT 111,2097 COMPTON AVE STE 102,CORONA,937-154-07,"BANERJEE, SANJOY; BANERJEE, SHIKHA",08/29/2008,0.0
KRC LEGACY ESTATES LLC,,9 LATITUDE CT # 10,1511 SUNCOUNTRY CIR,CORONA,933-380-10,"NICOLINI, SEAN J",06/30/2004,0.0
ULTRA LLC,,401 BERNARD ST UNIT 402,13295 FEBRUARY DR,CORONA,938-652-43,"SKELDON, SHAWN ANNE",06/18/2019,0.0
221 16TH LLC,,221 16TH ST,1216 SUNCREST DR,CORONA,023-163-09,"CARLETON, PAMELA",,0.0
LAVENDER HOMES LLC,,16352 SANTA ANITA LN,PO BOX 1013,CORONA DEL MAR,146-054-19,"PHAM, KEVIN; LUU, HUONG",07/26/2021,0.0
HBVILLA LLC,,606 LAKE ST APT 26,22 POINT LOMA DR,CORONA DEL MAR,937-154-74,"SCHWARZ, CYNTHIA L",,0.0
SILVER OAK RENTALS LLC,,21372 BROOKHURST ST UNIT 433,1029 BONNIE DOONE TER,CORONA DEL MAR,935-820-77,"BROWN, HARVEY S; BROWN, NANCY J",10/19/2006,0.0
SILVER OAK RENTALS LLC,,1 GRETEL CT # 116,1029 BONNIE DOONE TER,CORONA DEL MAR,932-511-16,"BROWN, HARVEY S; BROWN, NANCY J",10/19/2006,0.0
2101 E 15TH LLC,,2101 E 15TH ST APT 3,515 SEAWARD RD,CORONA DEL MAR,937-220-17,"VALDEZ, BRANDY",01/25/2018,0.0
ELLIOTT MGNT LLC,,105 HARBOR WOODS PL,436 RIVERA TER,CORONA DEL MAR,934-040-53,"ELLIOTT, EUGENE D; ELLIOTT, SHAWN B",,0.0
KM GREEN LN LLC,,16681 GREEN LN,448 RIVERA TER,CORONA DEL MAR,178-201-69,"MORGENSTERN, KEVIN",05/18/2021,0.0
HIDAYAT LLC,,314 19TH ST,217 1/2 FERNLEAF AVE,CORONA DEL MAR,023-155-04,"ZAINAL, ROSALINA S",05/17/1995,0.0
ALTIC PROP LLC,,17172 BOLSA CHICA ST,4639 TREMONT LN,CORONA DEL MAR,163-131-24,"CLENDENEN, ALAN; CLENDENEN, LADEL",,0.0
HIDAYAT LLC,,7890 ALHAMBRA DR,PO BOX 1174,CORONA DEL MAR,142-103-31,"HIDAYAT LLC,",01/22/2008,0.0
STANTON APARTMENTS LLC,,320 14TH ST,3334 E COAST HWY # 624,CORONA DEL MAR,024-025-25,"ABDOLSALEHI, MOHSEN; ABDOLSALEHI, SHAHLA",12/14/2021,0.0
BONNIE DOONE LLC,,17541 BEACH BLVD,1023 BONNIE DOONE TER,CORONA DEL MAR,165-321-06,", WARD LYNDA L",12/16/1997,0.0
MGG LLC,,15495 GRAHAM ST,5 HALF MOON BAY DR,CORONA DEL MAR,145-483-09,"MAYER, ALFRED J; MAYER, HERTA",02/18/2021,0.0
MGG LLC,,15502 GRAHAM ST,5 HALF MOON BAY DR,CORONA DEL MAR,145-391-12,"MAYER, ALFRED J; MAYER, HERTA",02/18/2021,0.0
BELLIS-GRAHAM LLC,,15731 GRAHAM ST,1321 OUTRIGGER DR,CORONA DEL MAR,145-472-07,"LOEB, CHARLES S; LOEB, KAREN J",04/26/2000,0.0
BOBS GARAGE LLC,,711 W 17TH ST # 92,PO BOX 980,CORONA DEL MAR,939-830-92,"PARKER, ROBERT A; PARKER, JANE C",10/11/2019,0.0
YAZD PROPERTIES LLC,,14340 BOLSA CHICA RD,4607 FAIRFIELD DR,CORONA DEL MAR,195-441-25,"MAVANDADI, AZITA; MAVANDADI, SHAHRZAD",04/30/1998,0.0
COCO INVESTMENT 3 LLC,,15182 PURDY ST,1783 HAWAII CIR,COSTA MESA,107-435-16,"PHAM, PHUONG TRAN NHA",06/29/2017,0.0
COCO INVESTMENT 3 LLC,,7712 ALHAMBRA DR,1785 HAWAII CIR,COSTA MESA,142-285-17,"PHAMA, PHUONG TRAN NHA",10/29/2021,0.0
CCK PPTY HOLDINGS LLC,,9525 NIGHTINGALE AVE,3030 PULLMAN ST,COSTA MESA,157-021-35,"YEUNG, BRENDA L; YEUNG, KAYUEN",,0.0
TRANSITIONS V LLC,,1821 LAKE ST,3151 AIRWAY AVE STE Q3,COSTA MESA,023-074-07,"TRANSITIONS IV LLC,",06/01/2023,0.0
LRHP INVESTMENTS LLC,,711 ORANGE AVE,3198 AIRPORT LOOP DR STE D1,COSTA MESA,024-114-01,"HERZBERG, LISA RUBY",06/01/1998,0.0
LC #2 LLC,,19732 MATSONIA LN,1121 CORONA LN,COSTA MESA,155-035-05,"CARICH, LAURA JEAN; CARICH FAMILY TRUST,",05/31/2022,0.0
MAN IN THE MIRROR LLC,,8266 GOLDEN CIR,3200 PARK CENTER DR STE 260,COSTA MESA,930-157-74,"WONG, JOHN; TRAN, ANH",,0.0
MAN IN THE MIRROR LLC,,8256 GOLDEN CIR,3200 PARK CENTER DR STE 260,COSTA MESA,930-158-11,"WONG, JOHN; TRAN, ANH",,0.0
HUNTINGTON BEACHER LLC,,17557 NEWLAND ST UNIT 102,PO BOX 3422,COSTA MESA,932-183-11,"HO, LOAN K",,0.0
DAWN PATROL LLC,,411 CORAL REEF DR UNIT 36,PO BOX 1852,COSTA MESA,930-794-36,"RODERMUND, DOUGLAS STEVEN",01/22/2004,0.0
CCK PPTY HOLDINGS LLC,,900 PACIFIC COAST HWY APT 202,3030 PULLMAN ST,COSTA MESA,937-155-29,"YEUNG, KAYUEN; YEUNG, BRENDA",07/10/2006,0.0
S & S 1 LLC,,9514 BICKLEY DR # 8,1733 MONROVIA AVE STE V,COSTA MESA,931-930-16,"BABLOT, STEVEN R; BABLOT, SUSAN V",01/17/1996,0.0
MESA PACTFIC INVESTMENTS LLC,,1620 IOWA ST UNIT C,PO BOX 3774,COSTA MESA,932-070-47,"CAMPOS, JUNY E; CAMPOS, JESSICA",05/09/2018,0.0
PACIFIC PLEX LLC, RYAN MILNE REVOCABLE LIVING TRUST,2223 PACIFIC AVE APT C,165 22ND ST,COSTA MESA,931-170-11,"MILNE, RYAN L",06/04/2012,0.0
XENIA OUTPOST LLC,,380 W WILSON ST # 18,380 W WILSON ST APT C106,COSTA MESA,938-250-18,"POLYCHRONOPOULOS TRUST, ; POLYCHRONOPOULOS, ARISTIDES",05/06/2010,0.0
ORANGE PROPERTIES OF CALIFORNIA LLC,,2233 FAIRVIEW RD APT B,675 SENATE ST,COSTA MESA,934-840-20,"KRESSIN, SCOTT; GEORGE, MARISSA",02/26/2016,0.0
BHAVANA PROPERTIES LLC,,2620 ELDEN AVE # 2,2032 SANTA ANA AVE UNIT C,COSTA MESA,937-940-13,"ALLEN, DAVID; ALLEN, KATHRYN",02/27/2013,0.0
VAUGHAN PROPERTIES LLC," VAUGHAN, JAKE",695 CENTER ST UNIT B,3150 BRAY LN,COSTA MESA,937-361-68,"VAUGHAN, JAKE; LANG, LINDA ANNETTE",01/22/2013,0.0
HALF MOON RENTALS LLC,,1845 ANAHEIM AVE # 21,3223 COLORADO PL,COSTA MESA,937-360-51,"STRNAD, STUART W",09/19/2012,0.0
1681 MOONLIGHT HOLDINGS LLC,,1681 MOONLIGHT,1523 ORANGE AVE,COSTA MESA,930-618-06,"EISENBERG, ERIC",09/01/2020,0.0
1674 TOPANGA HOLDINGS LLC,,1674 TOPANGA,1523 ORANGE AVE,COSTA MESA,930-617-54,"EISENBERG, ERIC",09/10/2021,0.0
ADEN PROPERTIES LLC,,1685 GRAND VW,2915 RED HILL AVE STE B201D,COSTA MESA,930-617-86,"ADEN PROPERTIES LLC,",07/07/2021,0.0
COLUMBIA 5 LLC, 2918 PAPER LANE LLC,102 COLUMBIA ST # 5,3115 RED HILL AVE,COSTA MESA,932-580-05,"2918 PAPER LANE LLC,",10/28/2008,0.0
ESTATE PROTECTION LLC,,260 CAGNEY LN APT 312,2031 N CAPELLA CT,COSTA MESA,930-775-50,"CRICKS, CHRISTOPHER J; LAMANNA CRICKS, HAILEY N",11/19/2025,0.0
CLAYWOOD LLC,,3221 CLAY ST,3107 GIBRALTAR AVE,COSTA MESA,937-351-42,"JANRIC REAL ESTATE LLC, ; LAI, JULIE",03/12/2015,0.0
SSD CAROUSEL BEACH PROPERTIES LLC,,31 CORSICA DR,3315 FAIRVIEW RD,COSTA MESA,931-806-34,"DANIELS, SANDRA S",05/30/2019,0.0
CCK PPTY HOLDINGS LLC,,2119 CALIFORNIA ST,3030 PULLMAN ST,COSTA MESA,025-071-29,"YEUNG, KAYUEN; YEUNG, BRENDA L",01/08/1996,0.0
GLD HOLDINGS LLC,,16892 LYNN LN,151 KALMUS DR STE H1,COSTA MESA,178-261-03,"SHUBIN, NICK A; SHUBIN, DONNA J",09/20/2012,0.0
DAWN PATROL LLC,,2520 17TH ST,PO BOX 1852,COSTA MESA,025-062-14,"BRONZETREE TERRACES LLC,",11/20/2020,0.0
HUNTINGTON STREET LLC,,208 HUNTINGTON ST,262 BRENTWOOD ST,COSTA MESA,024-261-09,"SKAWINSKI, JAMES J; SKAWINSKI, MICHELE L",07/26/2004,0.0
GEO FLO HOLDINGS LLC,,802 KNOXVILLE AVE UNIT 102,151 KALMUS DR STE H1,COSTA MESA,025-171-04,"SHUBIN, NICK A; SHUBIN, DONNA J",04/30/1999,0.0
"BLUE, PACIFIC HOLDINGS LLC",,16852 BLANTON LN,1927 HARBOR BLVD # 305,COSTA MESA,178-243-24,"BROUKHIM, AMY; THE MB TRUST,",02/20/1997,0.0
JEK INVESTMENTS LLC,,1325 DELAWARE ST,620 TERMINAL WAY,COSTA MESA,025-091-01,"KOLL, EDWIN LEE; KOLL, JOANN D",,0.0
DEMION RE HOLDINGS LLC,,18581 DEMION LN,3194 HAITI CIR,COSTA MESA,157-502-07,"VAN HERK, JOHANNES A; VAN HERK, SHARON L",03/01/1993,0.0
ONNYX INVESTMENTS 2 LLC,,7952 GLENCOE DR,2665 HARBOR BLVD,COSTA MESA,142-102-19,"ONNYX INVESTMENTS LLC,",05/07/2024,0.0
BEACH PLAZA HB LLC,,17171 BEACH BLVD,2458 NEWPORT BLVD # 117,COSTA MESA,165-283-05,"JONES, DONALD P; JONES, ANDREA",01/14/2011,0.0
6920 WARNER AVE LLC,,6920 WARNER AVE,1835 NEWPORT BLVD # A109-324,COSTA MESA,165-081-17,"SAMSON, GARY; THE GARY D SAMSON DYNASTY TRUST NO 1,",07/07/2004,0.0
ONNYX INVESTMENTS 2 LLC,,16391 BEACH BLVD,2665 HARBOR BLVD,COSTA MESA,142-102-20,"ONNYX INVESTMENTS LLC,",06/23/2020,0.0
AYRES BROOKHURST PLAZA LLC,,9887 HAMILTON AVE,355 BRISTOL ST STE A,COSTA MESA,149-081-14,"AYRES, DOUGLAS R",12/26/2007,0.0
AYRES BROOKHURST PLAZA LLC,,21401 BROOKHURST ST,355 BRISTOL ST STE A,COSTA MESA,149-081-15,"AYRES, DOUGLAS R",12/26/2007,0.0
CANFIELD H B PROPERTIES LLC,,16711 PACIFIC COAST HWY,461 E 20TH ST,COSTA MESA,178-525-07,"CANFIELD, PAMELA A; CANFIELD SURVIVORS TRUST,",,0.0
PACIFIC COUNTIES LLC,,6012 WARNER AVE,1500 ADAMS AVE STE 300,COSTA MESA,110-301-32,"SPARKS ENTERPRISES LP,",11/20/1997,0.0
BURKE GOTHARD STREET PARTNERS LLC,,16392 GOTHARD ST,260 BAKER ST STE 100,COSTA MESA,142-121-27,"NINOS I LP,",04/06/2006,0.0
CROWN WEALTH PROPERTIES LLC,,2900 BRISTOL ST # 1,2900 BRISTOL ST STE B106,COSTA MESA,939-570-01,"STARPOINT COMMERCIAL PROPERTIES LLC,",09/14/2011,0.0
COMPETENT LLC,,2900 BRISTOL ST # 16B,2900 BRISTOL ST STE D107,COSTA MESA,939-570-19,"THE WATERS AT CREEKSIDE I LLC,",05/18/2005,0.0
16 GATEWOOD LLC,,2900 BRISTOL ST # 18,2900 BRISTOL ST STE D105,COSTA MESA,939-570-21,"KHANG T LE DDS INC,",11/30/2016,0.0
3191 RED HILL PARTNERS LLC,,3191 RED HILL AVE # B6,3191 RED HILL AVE STE 100,COSTA MESA,936-790-30,"3191 RED HILL PARTNERS LLC,",09/10/2010,0.0
GARY L JARVIS LLC,,424 32ND ST STE F,137 TRIBECA WAY,COSTA MESA,932-840-89,"JARVIS, GARY LEE; THE GARY LEE JARVIS LIVING TRUST,",04/25/2006,0.0
BURKE ASTRONAUTICS PARTNERS LLC,,14382 ASTRONAUTICS LN,260 BAKER ST STE 100,COSTA MESA,195-111-42,"BURKE ASTRONAUTICS DEVELOPMENT INC,",08/20/2008,0.0
BURKE GOTHARD STREET PARTNERS LLC,,16402 GOTHARD ST,260 BAKER ST STE 100,COSTA MESA,142-121-29,"NINOS I LP,",04/06/2006,0.0
SIKM PROPERTIES LLC,,5402 COMMERCIAL DR,2925 BRISTOL ST,COSTA MESA,145-483-05,", ROCK INDUSTRIES INC",12/08/1999,0.0
FROME DEVELOPMENTS OMEGA LLC,,7573 SLATER AVE,151 KALMUS DR STE F2,COSTA MESA,111-340-47,", SLATER NICHOLAS INDUSTRIAL PARK",01/11/1999,0.0
BURKE MONARCH MULTI LLC,,11258 MONARCH ST # 501,260 BAKER ST STE 100,COSTA MESA,936-751-37,"BURKE MONARCH LLC,",07/22/2008,0.0
R&S ASSET MANAGEMENT LLC,,2960 AIRWAY AVE # 3,2964 AIRWAY AVE,COSTA MESA,936-790-03,"RICHARD C HAASCH AND SUSAN L HAASCH FMTR, ; HAASCH, RICHARD C",08/11/2025,0.0
EPI LLC,,711 W 17TH ST # 17,711 W 17TH ST STE B5,COSTA MESA,939-830-17,"MURTAUGH, MARK",,0.0
KL INDUSTRIES LLC,,711 W 17TH ST # 18,711 W 17TH ST STE B7,COSTA MESA,939-830-18,"POBANZ, YUMIKO",10/11/1995,0.0
FLEJ HOLDINGS LLC,,711 W 17TH ST # 32,711 W 17TH ST STE C8,COSTA MESA,939-830-32,"BERNAL JR, FRANCISCO JAVIER; FRANKLIN BERNAL, JAMIE MARIE",03/13/2026,0.0
EPI LLC,,711 W 17TH ST # 33,711 W 17TH ST STE B5,COSTA MESA,939-830-33,"MURTAUGH, MARK",07/22/1994,0.0
711 W ANTHONY LLC,,711 W 17TH ST # 80,873 GOVERNOR ST,COSTA MESA,939-830-80,"TOLMAN, TROY",01/31/2018,0.0
FROME REALTY FUND-ALPHA LLC,,17202 GOTHARD ST,151 KALMUS DR STE F2,COSTA MESA,111-023-17,", FROME ENTERPRISES",09/04/1997,0.0
MILLER FAMILY BEACH HOLDINGS LLC,,15380 BEACH BLVD,9900 CULVER BLVD STE 1A,CULVER CITY,107-161-04,"MILLER, LOUIS G; MILLER, JUDITH",,0.0
MILLER FAMILY BEACH HOLDINGS LLC,,15342 BEACH BLVD,9900 CULVER BLVD STE 1A,CULVER CITY,107-161-02,"MILLER, LOUIS G; MILLER, JUDITH",,0.0
MILLER FAMILY BEACH HOLDINGS LLC,,15346 BEACH BLVD,9900 CULVER BLVD STE 1A,CULVER CITY,107-161-03,"MILLER, LOUIS G; MILLER, JUDITH",,0.0
MILLER FAMILY BEACH HOLDINGS LLC,,15450 BEACH BLVD,9900 CULVER BLVD STE 1A,CULVER CITY,107-161-08,"MILLER, LOUIS G; MILLER, JUDITH",,0.0
ROUND TOOL REALCO LLC,,5352 MCFADDEN AVE,6317 W SLAUSON AVE,CULVER CITY,145-461-01,"VICTOR PROFESSIONAL PRODUCTS INC,",10/28/1998,0.0
VISNYEI FAMILY INVESTMENTS LLC,,5045 HAMPTON CT,11345 CUTTYHUNK CT,CYPRESS,195-413-58,"VISNYEI, ARLENE W; VISNYEI, MARC DAVID GARCIA",11/26/2007,0.0
LEGACY PROMISE LLC, BRANDON BROWNING TRUST,16771 ROOSEVELT LN,10073 VALLEY VIEW ST # 453,CYPRESS,146-601-18,"STARLIGHT CAPITAL LLC,",,0.0
17436 BANYAN LLC,,17436 BANYAN ST,17546 JAVA ST,CYPRESS,167-104-07,"CANZONE, JOSEPH P; CANZONE, JOHN S",,0.0
H4A LLC,,918 DELAWARE ST,10073 VALLEY VIEW ST # 436,CYPRESS,025-168-06,"NGUYEN, TUAN ANH; LE, THI THU HONG",06/16/2020,0.0
C & S LEE PROPERTIES LLC,,2000 PACIFIC COAST HWY APT 301,8792 BELDAY ST,CYPRESS,937-164-57,"LEE, CHULLAM; LEE, CHUNGSIM",,0.0
99 PROPERTIES LLC,,200 PACIFIC COAST HWY UNIT 350,6363 KATELLA AVE,CYPRESS,939-506-14,"LAN, LIN W",06/26/2009,0.0
LAMP PROPERTIES LLC,,16811 BLANTON LN,6091 BARBADOS AVE,CYPRESS,178-242-14,"POST, MICHAEL; POST, LAURIE",01/23/1997,0.0
SSRE ASSOCIATES LLC,,33 SURFSIDE AVE # A,3401 LEE PKWY APT 503,DALLAS,178-491-35,"RICHARDS, MICHAEL S; RICHARDS, RHONDA A",08/16/1996,0.0
AF-GHBM LLC,,16171 BEACH BLVD,2521 FAIRMOUNT ST,DALLAS,142-083-30,"BRIDGESTONE/FIRESTONE NORTH AMERICAN TIR,",,0.0
ESS VRS OWNR LLC PTA-EX#301,,7531 MCFADDEN AVE,PO BOX 800729,DALLAS,142-271-06,"SUSA PARTNERSHIP LP,",07/27/2005,0.0
1811 CALIFORNIA STREET LLC,,1811 CALIFORNIA ST,33142 ELISA DR,DANA POINT,025-087-24,"THE BEHSHAD REJAI REVOCABLE TRUST, ; REJAI, BEHSHAD",,0.0
PACIFIC ENCHANTMENT LLC,,9082 KAHULUI DR,32922 BUCCANEER ST,DANA POINT,149-014-04,"TOLLES, EIRC MUNSON; THE ERIC M AND CYHNHTHIA H TOLLES TRUST,",,0.0
ARENA INVESTMENT PROPERTIES LLC,,43 SEASCAPE DR # 60,33471 IRONSIDES DR,DANA POINT,933-330-60,"ARENA, FRANCO A; ARENA, JENNIFER E",,0.0
24 SAN SOVINO LLC,,24 SAN SOVINO,33142 ELISA DR,DANA POINT,934-410-83,"THE BEHSHAD REJAI REVOCABLE TRUST, ; REJAI, BEHSHAD",10/20/2022,0.0
BLACK DOG CAPITAL LLC,,211 UTICA AVE,25292 SWANWAY CT,DANA POINT,025-022-20,"RHOADS, ALLYSON MARIE; DOWSE, CAMERON LINDSAY",03/29/2019,0.0
ALCOVE PROPERTIES LLC,,7781 SLATER AVE,25101 LA CRESTA DR APT B,DANA POINT,165-232-09,"VILLASENOR, VERNON; VILLASENOR, MICHELLE",12/21/2021,0.0
WINDSOR ENTERPRISES LLC,,412 14TH ST,PO BOX 113,DANA POINT,024-022-06,"SUVEGES, CORINNE",04/30/2004,0.0
HUNTINGTON PLAZA CENTER LLC,,17122 BEACH BLVD,32565 GOLDEN LANTERN # B343,DANA POINT,167-325-15,"THE DOMINIC & JUDY MANNA TRUST, ; MANNA, DOMINIC J",09/06/2001,0.0
HUNTINGTON PLAZA CENTER LLC,,17122 BEACH BLVD,32565 GOLDEN LANTERN # B343,DANA POINT,167-325-16,"THE DOMINIC & JUDY MANNA TRUST, ; MANNA, DOMINIC J",09/06/2001,0.0
PANAMA STREET INVESTMENTS LLC,,711 PACIFIC COAST HWY UNIT 324,10123 S LAKE VISTA CIR,DAVIE,939-504-65,"BEHARIE, JOAN; BEHARIE, JOAN H",,0.0
LTJ SKYLINE LLC, GRAND STABLE AND CARRIAGE CO LLC,7677 CENTER AVE,2775 ARROWHEAD CT,DEER ISLAND,142-342-14,"ORANGE COUNTY TRANSPORTATION AUTHORITY,",03/10/2020,0.0
GOODELL PROPERTIES LLC,,17055 PACIFIC COAST HWY,2140 VIA MAR VALLE,DEL MAR,178-544-20,"GOODELL, DOUGLAS; GOODELL, SUSAN",05/20/2011,0.0
DONNELLEY LKMB LLC,,16692 N PACIFIC AVE,421 W OCEAN VIEW AVE,DEL MAR,178-525-05,"JAMES AND HELEN ECKMANN REVOCABLE TRUST, ; ECKMANN, HELEN L",,0.0
NEWPORT BUILDING LLC,,19 HILLSDALE DR # 3,PO BOX 100970,DENVER,939-631-07,"MATHER, TIMOTHY S; FULBRIGHT, CHRISTY L",09/04/1997,0.0
1187 DB & 1200 HB LLC,,1200 PACIFIC COAST HWY APT 326,324 S DIAMOND BAR BLVD # 425,DIAMOND BAR,939-501-66,"MAHFOUZ, MARK M; SALAMA, NANCY",09/30/2019,0.0
DRAGON PIG LLC,,20331 BLUFFSIDE CIR # A221,24032 HIGHCREST DR,DIAMOND BAR,936-178-24,"CHANG, YIN CHU ANNY; CARLOS, CHESTER CASTRO",11/18/2020,0.0
DIAMOND GATE MANAGEMENT LLC,,12 LAND FALL CT,1524 DERRINGER LN,DIAMOND BAR,932-581-79,"ENNABE, MAYSOON",09/30/2024,0.0
MONGSON HOLDING LLC,,19051 BROOKHURST ST,2468 INDIAN CREEK RD,DIAMOND BAR,153-201-13,"TRUE NORTH CAPITAL LLC,",05/19/2006,0.0
MJB RENTALS LLC,,22 SURFSIDE AVE # B,10535 LEMORAN AVE,DOWNEY,178-491-14,"BUTLER, MELINDA A; MELINDA A BUTLER IRREVOCABLE TRUST,",,0.0
HUNT OC PROPERTIES LLC,,3865 ARUBA CIR,10551 PARAMOUNT BLVD,DOWNEY,178-644-26,"HUNT, GORDON; LANSBERG, JUSTIN",08/15/2012,0.0
BEAUTIFUL HACHAEL LLC,,19452 CATFISH CIR,13050 STANBRIDGE AVE,DOWNEY,153-393-36,"WU, YU TSEN; YU TSEN WU REVOCABLE TRUST OF 1993,",06/18/2012,0.0
PHAM FAMILY LLC,,7192 MAIN ST # 10,9800 NEWVILLE AVE,DOWNEY,939-100-16,"PHAMILY LLC,",04/05/2007,0.0
7251 ELK CIRCLE LLC,,7251 ELK CIR,9451 FIRESTONE BLVD # B,DOWNEY,142-232-19,"ARMONA, MICHAEL A",04/23/2019,0.0
TAVAKKOLI CONDOS LLC,,3893 ARUBA CIR,PO BOX 822,DUARTE,178-644-86,"TAVAKKOLI, MOHAMAD; TAVAKKOLI, FARIBA",12/06/2013,0.0
TH1CM LLC,,1670 TOPANGA,7172 REGIONAL ST # 208,DUBLIN,930-617-56,"ARANAUDOV, MARTIN; BANERJEE, RUPASI",12/31/2018,0.0
G DIRE PROPERTIES LLC,,17333 BROOKHURST ST APT C7,6778 SWISS CT,EASTVALE,932-182-03,"ICE, ELISA R; THE 2015 ELISA ROSE ICE LIVING TRUST,",,0.0
POS LLC,,227 2ND ST,328 DIAGONAL RD,EL DORADO,024-165-23,"LIBRODO, GERARD F",03/29/2007,0.0
IVORYCREST MANAGEMENT LLC,,18161 IVORYCREST LN,2727 PECK RD,EL MONTE,159-233-24,"KOH, SANDY",,0.0
HEATHER DOWNS APARTMENTS LLC,,214 19TH ST,690 APPIAN WAY,EL SOBRANTE,023-161-19,"DOOLAN, BONNIE M; BONNIE DOOLAN FAMILY TRUST,",05/30/2025,0.0
HEATHER DOWNS APARTMENTS LLC,,214 19TH ST,690 APPIAN WAY,EL SOBRANTE,023-161-20,"DOOLAN, BONNIE M; BONNIE DOOLAN FAMILY TRUST,",05/30/2025,0.0
HEATHER DOWNS APARTMENTS LLC,,208 19TH ST,690 APPIAN WAY,EL SOBRANTE,023-161-17,"DOOLAN, BONNIE M; BONNIE DOOLAN FAMILY TRUST,",05/30/2025,0.0
6952 CANIS LLC,,6952 CANIS CIR,7542 RYLAND CT,ELK GROVE,165-133-20,"DI PAOLO, MARIA ELENA; DI PAOLO, ALBERTO JOSE",,0.0
32 EBB TIDE LLC,,32 EBB TIDE CIR,5400 OSTROM AVE,ENCINO,939-832-76,"KELESHIAN, GREGORY",03/08/2021,0.0
RM REYNOLDS PROPERTY LLC,,7572 REYNOLDS CIR,699 SUGAR RIDGE RD,ENNIS,165-331-15,"MILLEN, RODNEY K; RODNEY K MILLEN TRUST,",08/26/2009,0.0
VO T & S PROPERTIES LLC,,8982 THORPE AVE,16354 MAGNOLIA WAY,FONTANA,107-466-18,"VO, TAN TAI",10/19/2012,0.0
4801 KAUI DRIVE LLC,,4801 KAUI DR,3 TIZMIN,FOOTHILL RANCH,178-091-12,"DAVIS, DANIEL LEE; THE DANIEL LEE DAVIS TRUST,",,0.0
4651 RHAPSODY DRIVE LLC,,4651 RHAPSODY DR,3 TIZMIN,FOOTHILL RANCH,178-115-37,"DAVIS, DANIEL LEE; DANIEL LEE DAVIS TRUST DATED AUGUST 22 1,",,0.0
6001 JADE CIRCLE LLC,,6001 JADE CIR,3 TIZMIN,FOOTHILL RANCH,195-031-27,"DAVIS, DANIEL LEE; DANIEL LEE DAVIS TRUST DATED AUGUST 2,",,0.0
PAHR-06 LLC,,5762 BELLFIELD LN,26730 TOWNE CENTRE DR STE 201,FOOTHILL RANCH,159-173-04,"LEOU, PETER H; WANG, ANGELA L",,0.0
PAHR-063 LLC,,406 22ND ST,26730 TOWNE CENTRE DR STE 201,FOOTHILL RANCH,023-122-10,"LEOU, PETER H; WANG, ANGELA L",10/08/2004,0.0
LITTLER PROPERTIES LLC,,5711 LITTLER DR,30727 DIGGER CREEK DR,FORT BRAGG,146-103-23,"LANE, NATHANIEL G; LANE, LAURA V",08/11/2016,0.0
ANDELLE LLC,,5571 RENO CIR,2085 TATTON HALL RD,FORT MILL,145-441-06,"RYAN, JAMES M; RYAN, NANCY L",06/12/2002,0.0
GR8 FAMILY HOMES LLC,,6791 HAZARD AVE,8750 ROGUE RIVER AVE,FOUNTAIN VALLEY,195-361-04,"NGHE, DANIEL D; NGHE, KIMBERLY P",06/02/2011,0.0
OCTOBER BEM LLC,,15311 CASCADE LN,18731 WESTWIND ST,FOUNTAIN VALLEY,142-263-08,"ZEROCOM REAL ESTATE INC,",10/31/2025,0.0
MJ TRAVEL TRAILERS LLC,,15401 CASCADE LN,9795 LA CAPILLA AVE,FOUNTAIN VALLEY,142-272-04,"VU, FRANK T; VU, BOL BOI N",08/09/2016,0.0
DAISY COAST LLC,,15071 EDEN ST,17870 NEWHOPE ST # 104507,FOUNTAIN VALLEY,107-431-06,"LE, ANH TU",12/14/2021,0.0
GALLATIN CORONADO RENTALS LLC,,15232 CORONADO ST,9338 POINSETTIA AVE,FOUNTAIN VALLEY,107-204-07,"TIEU, KEVIN KHAI; VAN PHAM, THI NGOC",03/25/2019,0.0
CHILI PEPPER INVESTMENT LLC,,15441 NANTUCKET ST,16027 BROOKHURST ST # I407,FOUNTAIN VALLEY,107-711-22,"VYAJ INVESTMENT LLC,",09/29/2016,0.0
BISHOP PINE PROPERTIES LLC,,8732 BISHOP AVE,9126 POINSETTIA AVE,FOUNTAIN VALLEY,107-443-07,"LANDSVERK, RICHARD IVAN; LANDSVERK, DOROTHY CHRISTINA",,0.0
CELESTIAL ESTATES LLC,,8771 PACHECO AVE,9922 CAMROSE CIR,FOUNTAIN VALLEY,107-443-34,"HA, PHOUPOC HUU; THI PHAM, KIM CHAU",09/14/2018,0.0
